pid,Cohort,Time,Grade,Gender,School,Ethnicity,Language.Fluency,Parent.Ed.Lvl,SpEd,SpEd.Dis,Low.Income,Time_since_firstgameplay,Age_months,Year_enrolled,Birthdate_provided,BACKWARDSSPATIALSPAN.object_count_span,SPATIALSPAN.object_count_span,SAATSUSTAINED.rt_sd.correct,SAATIMPULSIVE.dprime.overall,TNT.dprime.tap_trace,FLANKER.rcs.overall,STROOP.rcs.overall,TASKSWITCH.rcs.overall,BOXED.rt_mean.correct,BRT.rt_mean.correct,BRT.rt_mean.correct.dominant,BRT.rt_mean.correct.nondominant,,TNT.dprime.tap_trace.residuals,SAAT.rt_sd.correct.sustained.residuals,SAAT.dprime.impulsive.residuals,FLANKER.rcs.overall.residuals,STROOP.rcs.overall.residuals,TASKSWITCH.rcs.overall.residuals,BOXED.rt_mean.correct.residuals,BACKWARDSSPATIALSPAN.object_count_span.residuals,SPATIALSPAN.object_count_span.residuals,X2017.ELA.SBAC.SS,X2017.ELA.SBAC.PL,X2017.Math.SBAC.SS,X2017.Math.SBAC.PL,X2018.ELA.SBAC.SS,X2018.ELA.SBAC.PL,X2018.Math.SBAC.SS,X2018.Math.SBAC.PL,MATH_FLUENCY.acc_length.overall,READING_COMPREHENSION.acc_length.overall,MATH_FLUENCY.rt_mean.overall,MATH_FLUENCY.rt_sum.overall,MATH_FLUENCY.acc_mean.overall,MATH_FLUENCY.acc_sum.overall,READING_COMPREHENSION.rt_mean.overall,READING_COMPREHENSION.rt_sum.overall,READING_COMPREHENSION.acc_sum.overall,READING_COMPREHENSION.acc_score.overall,MATH_FLUENCY.rt_mean.overall.T4T3,MATH_FLUENCY.rt_sum.overall.T4T3,MATH_FLUENCY.acc_mean.overall.T4T3,MATH_FLUENCY.acc_sum.overall.T4T3,READING_COMPREHENSION.rt_mean.overall.T4T3,READING_COMPREHENSION.rt_sum.overall.T4T3,READING_COMPREHENSION.acc_sum.overall.T4T3,READING_COMPREHENSION.acc_score.overall.T4T3,Label,Group,LabelMF,GroupMF,zscore_TNT.dprime.tap_trace.residuals,zscore_SAAT.rt_sd.correct.sustained.residuals,zscore_SAAT.dprime.impulsive.residuals,zscore_FLANKER.rcs.overall.residuals,zscore_BOXED.rt_mean.correct.residuals,zscore_TASKSWITCH.rcs.overall.residuals,zscore_STROOP.rcs.overall.residuals,zscore_SPATIALSPAN.object_count_span.residuals,zscore_BACKWARDSSPATIALSPAN.object_count_span.residuals,zscore_X2017.ELA.SBAC.SS,zscore_X2017.Math.SBAC.SS,zscore_X2018.ELA.SBAC.SS,zscore_X2018.Math.SBAC.SS,zscore_combined.Math,zscore_combined.ELA,zscore_MATH_FLUENCY.rt_mean.overall,zscore_MATH_FLUENCY.rt_sum.overall,zscore_MATH_FLUENCY.acc_mean.overall,zscore_MATH_FLUENCY.acc_sum.overall,zscore_READING_COMPREHENSION.rt_mean.overall,zscore_READING_COMPREHENSION.rt_sum.overall,zscore_READING_COMPREHENSION.acc_sum.overall,zscore_READING_COMPREHENSION.acc_score.overall,zscore_MATH_FLUENCY.rt_mean.overall.T4T3,zscore_MATH_FLUENCY.rt_sum.overall.T4T3,zscore_MATH_FLUENCY.acc_mean.overall.T4T3,zscore_MATH_FLUENCY.acc_sum.overall.T4T3,zscore_READING_COMPREHENSION.rt_mean.overall.T4T3,zscore_READING_COMPREHENSION.rt_sum.overall.T4T3,zscore_READING_COMPREHENSION.acc_sum.overall.T4T3,zscore_READING_COMPREHENSION.acc_score.overall.T4T3,Clusters,BMU
ADMIN-UCSF-bo001,3,T1,3,2,Bowers,NaN,NaN,NaN,NaN,NaN,NaN,0,106.2333333,1,0,4,4,90.38495216,2.233912521,NaN,1.225005022,1.366692725,NaN,807.7605911,280.6973267,280.6973267,NaN,,NaN,-13.98084454,-0.633198516,-0.279961188,-0.180428531,NaN,-104.3413544,-1.424956419,-1.853980703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,30,2623.020408,128528,0.979591837,48,4989.933333,149698,25,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,bo001-T1,3-T1,bo001-T1-2,3-T1-2,NaN,-0.298222361,-0.61014991,-0.413515048,0.053116368,NaN,-0.12432016,-1.375654596,-0.969198408,NaN,NaN,NaN,NaN,NaN,NaN,-0.482090522,-0.383114647,0.416468368,0.517524438,0.927409566,0.763778502,-0.930074636,-0.569673244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,44
ADMIN-UCSF-bo002,3,T1,3,2,Bowers,Hispanic or Latino,English Learner,Not HS Graduate,No,,Yes,0,100.2,1,1,6,6,70.95853602,3.397186445,NaN,1.210963936,1.244797438,NaN,1107.826927,312.8162333,308.7211875,317.4962857,,NaN,10.63145937,0.756688064,-0.167115665,-0.199090795,NaN,-345.3206954,0.860478671,0.443810268,2424,Standard Nearly Met,2440,Standard Met,NaN,,NaN,,38,34,3589.894737,136416,1,37,4148.529412,141050,27,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,bo002-T1,3-T1,bo002-T1-2,3-T1-2,NaN,0.646089193,1.509842812,0.167904129,-2.018635613,NaN,-0.229747755,0.874641826,1.178885751,-0.533646523,-0.701081671,NaN,NaN,-0.701081671,-0.533646523,0.599486937,0.494381313,0.602447749,-0.480285595,0.275058701,0.25421366,-0.666322127,-0.569673244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,119
ADMIN-UCSF-bo008,3,T1,3,2,Bowers,Asian,RFEP-Redesignated,Grad School/post grad trng,No,,No,0,98.42795699,1,1,5,5,58.00809297,1.208526888,NaN,0.879189488,1.059042723,NaN,977.4280741,334.4929947,NaN,334.4929947,,NaN,27.08181146,-1.279032649,-0.413255482,-0.315174471,NaN,-175.0445603,0.053116248,-0.355213282,2429,Standard Nearly Met,2494,Standard Met,2572,Standard Exceeded,2513,Standard Met,44,33,3070.727273,135112,1,42,4436.181818,146394,29,25,-444.1216379,-6639,0.021276596,7,45.9213732,-1273,2,5,bo008-T1,3-T1,bo008-T1-2,3-T1-2,NaN,1.277247397,-1.595240119,-1.100293367,-0.554734522,NaN,-0.885532217,0.092133818,0.420044497,-0.474708958,0.037237675,NaN,NaN,0.037237675,-0.474708958,0.018729117,0.349318593,0.602447749,-0.02673558,0.498079169,0.569097392,-0.402569619,-0.034371976,-0.472463103,-0.678191985,-0.017988793,0.465165533,-0.007501122,-0.079994613,0.337788481,0.541655092,3,196
ADMIN-UCSF-bo009,3,T1,3,2,Bowers,White,RFEP-Redesignated,High School Graduate,No,,Yes,0,99.13333333,1,1,4,3,111.2211801,1.413764688,NaN,0.95682809,0.975682321,NaN,NaN,372.505,462.79,327.3625,,NaN,-19.99389388,-0.805603857,-0.185449426,-0.276360908,NaN,NaN,-0.609077728,-2.00278435,2393,Standard Nearly Met,2434,Standard Nearly Met,2403,Standard Not Met,2433,Standard Nearly Met,25,36,6120.52,153013,0.958333333,23,3807.722222,137078,32,28,-2449.513846,-11372,-0.051578947,10,-196.2484144,-5437,-1,-3,bo009-T1,3-T1,bo009-T1-2,3-T1-2,NaN,-0.528927783,-0.873119618,0.073442249,NaN,NaN,-0.666265113,-1.521382523,-0.202352699,-0.899059428,-0.783117154,NaN,NaN,-0.783117154,-0.899059428,3.430327678,2.340704899,0.222739845,-1.750225636,0.010826673,0.020172084,-0.006940855,0.286808784,-4.077063596,-1.455101313,-0.828877577,0.896294564,-0.24132357,-0.344595578,-0.113592586,-0.249541221,2,65
ADMIN-UCSF-bo010,3,T1,3,2,Bowers,Asian,RFEP-Redesignated,High School Graduate,No,,Yes,0,100.3956989,1,1,4,3,101.977725,2.233912521,NaN,1.071386826,1.027846125,NaN,NaN,395.2342733,NaN,395.2342733,,NaN,-7.080592141,0.174908744,0.018901917,-0.151143198,NaN,NaN,-0.407086662,-1.792049519,2439,Standard Met,2441,Standard Met,2508,Standard Met,2507,Standard Met,52,41,2427.384615,126224,0.903846154,47,3391.585366,139055,30,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,bo010-T1,3-T1,bo010-T1-2,3-T1-2,NaN,-0.033477212,0.62245535,1.126331069,NaN,NaN,0.041119693,-1.315003508,-0.012500967,-0.356833827,-0.68740909,NaN,NaN,-0.68740909,-0.356833827,-0.700935162,-0.639421783,-0.27380126,0.426814435,-0.311809378,0.136662566,-0.270693364,-0.676733497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,209
ADMIN-UCSF-bo013,3,T1,3,2,Bowers,Hispanic or Latino,English Learner,Not HS Graduate,No,,Yes,0,103.6215054,1,1,7,5,35.01741079,2.94037121,NaN,1.127073325,1.240097815,NaN,923.2784684,326.7563517,332.7605818,320.4185532,,NaN,48.82334271,0.398226339,-0.195935462,-0.158985638,NaN,-135.1275372,1.984362058,-0.426943695,2365,Standard Not Met,2445,Standard Met,2430,Standard Nearly Met,2392,Standard Not Met,38,34,3654.526316,138872,0.842105263,32,4234.205882,143963,29,24,-174.2531401,-5009,0.089371981,5,3.80821256,3047,0,-1,bo013-T1,3-T1,bo013-T1-2,3-T1-2,NaN,2.111414699,0.963081473,0.019414563,-0.211559163,NaN,-0.003184127,0.021886048,2.235225575,-1.229109794,-0.632718768,NaN,NaN,-0.632718768,-1.229109794,0.671785949,0.7675976,-0.83644536,-0.933835609,0.341484728,0.425855934,-0.402569619,-0.14143223,0.012613141,-0.410631832,0.739918999,0.177746179,-0.048162686,0.194519357,0.036867769,-0.051742143,6,101
ADMIN-UCSF-bo014,3,T1,3,2,Bowers,Hispanic or Latino,IFEP-Initially Fluent,High School Graduate,No,,Yes,0,100.6215054,1,1,6,4,84.42709682,2.729521876,NaN,0.966903481,1.044253404,NaN,1051.50372,330.0192353,342.2729474,314.4978667,,NaN,-0.059521285,0.210398048,-0.343215196,-0.34434285,NaN,-257.350281,1.013358732,-1.396691816,2536,Standard Exceeded,2480,Standard Met,2569,Standard Exceeded,2542,Standard Met,44,37,3017.295455,132761,1,44,3888.621622,143879,35,33,452.6516698,6828,0.040816327,-3,83.79940711,-2074,-3,-4,bo014-T1,3-T1,bo014-T1-2,3-T1-2,NaN,0.235903434,0.676587153,-0.739421582,-1.262334763,NaN,-1.05031137,-0.927817713,1.322577969,0.78655494,-0.154178452,NaN,NaN,-0.154178452,0.78655494,-0.041041474,0.087782969,0.602447749,0.154684426,0.073548977,0.420906414,0.388687908,0.822110052,1.139445776,1.532380149,0.199490177,-0.971931236,0.029071295,-0.130894078,-0.414513298,-0.348440761,3,198
ADMIN-UCSF-bo023,3,T1,3,2,Bowers,Hispanic or Latino,English Learner,Not HS Graduate,No,,Yes,0,104.944086,1,1,4,5,76.39911096,3.312760474,1.980752397,1.267837706,1.251306597,NaN,NaN,322.2284,322.2284,NaN,,0.269111835,6.710563804,0.738668963,-0.073058876,-0.162330096,NaN,NaN,-1.055877054,-0.468924674,2373,Standard Nearly Met,2412,Standard Nearly Met,2329,Standard Not Met,2446,Standard Nearly Met,49,29,2605.367347,127663,0.959183673,47,5082.172414,147383,23,17,1292.88604,15322,0.038784067,-14,811.8980392,7758,-2,0,bo023-T1,3-T1,bo023-T1-2,3-T1-2,0.984667479,0.495654394,1.482358294,0.652517247,NaN,NaN,-0.022077771,-0.019227199,-0.622300112,-1.13480969,-1.083913924,NaN,NaN,-1.083913924,-1.13480969,-0.501837818,-0.479341068,0.230488986,0.426814435,0.998923665,0.627372095,-1.193827145,-0.890854004,2.649728509,2.926647597,0.176870946,-2.552737682,0.732073126,0.493879382,-0.264052942,0.047157396,5,227
ADMIN-UCSF-bo024,3,T1,3,2,Bowers,Hispanic or Latino,RFEP-Redesignated,Not HS Graduate,No,,Yes,0,106.944086,1,1,6,6,77.50722009,2.94037121,2.10040051,1.055569725,1.555072579,NaN,923.8032443,288.35652,285.4788182,290.6175714,,0.10091673,0.133533515,0.127299065,-0.419138634,0.032568651,NaN,-206.2939041,0.643109488,0.217031634,2505,Standard Exceeded,2520,Standard Exceeded,2488,Standard Met,2549,Standard Exceeded,41,29,3353.317073,137486,0.87804878,36,5168.689655,149892,25,21,-367.6713555,-4417,0.023870418,6,-126.026738,91,-1,-3,bo024-T1,3-T1,bo024-T1-2,3-T1-2,0.718089507,0.243310456,0.549836351,-1.130605402,-0.82339195,NaN,1.078951886,0.652550629,0.974580103,0.421142035,0.392724768,NaN,NaN,0.392724768,0.421142035,0.334843373,0.613412839,-0.508892457,-0.570995598,1.066001552,0.775209536,-0.930074636,-0.46261299,-0.335047228,-0.313456611,0.01088068,0.321455856,-0.173522361,0.006680631,-0.113592586,-0.249541221,5,119
ADMIN-UCSF-bo025,3,T1,3,2,Bowers,Hispanic or Latino,English Learner,Not HS Graduate,No,,Yes,0,107.3634409,1,1,4,4,91.15734696,1.346949188,1.962434363,0.936938885,1.036138004,NaN,983.57362,404.433,NaN,404.433,,0.94936845,5.225003438,-0.647153629,-0.079206206,-0.113285793,NaN,-52.52617639,-0.325339191,-0.706763373,2361,Standard Not Met,2374,Standard Not Met,2376,Standard Not Met,2347,Standard Not Met,45,42,2931.044444,131897,0.977777778,44,3265.642857,137157,28,14,-293.3053817,-3711,0.13256607,11,-381.6235679,-5609,2,-1,bo025-T1,3-T1,bo025-T1-2,3-T1-2,2.062828637,0.438657218,-0.631435631,0.620844076,0.498582761,NaN,0.254985232,-0.252149853,0.064333614,-1.276259846,-1.603471982,NaN,NaN,-1.603471982,-1.276259846,-0.137524694,-0.008332207,0.399936867,0.154684426,-0.409454162,0.024826989,-0.534445873,-1.212034765,-0.201377802,-0.197568594,1.220673119,1.040004241,-0.420309035,-0.355525301,0.337788481,-0.051742143,5,144
